goal_id,organization_id,parent_goal_id,level,owner_type,owner_id,scope_team_id,scope_territory_id,scope_user_id,metric_key,fiscal_period_id,target_value,currency,split_method,relation_type,confidence,status,version,approved_by,approved_at
g_nova_q3_company,org_fintech_nova,,COMPANY,org_unit,team_company,,,,net_new_arr,FY26-Q3,4000000,USD,TOP_DOWN_PCT,SUM,0.7,APPROVED,1,u_anna,2026-06-24
g_nova_q3_sales,org_fintech_nova,g_nova_q3_company,DEPARTMENT,org_unit,team_sales,team_sales,,,closed_won_arr,FY26-Q3,3200000,USD,CAPACITY,SUM,0.65,APPROVED,1,u_anna,2026-06-24
g_nova_q3_mktg,org_fintech_nova,g_nova_q3_company,DEPARTMENT,org_unit,team_growth,team_growth,,,sourced_pipeline,FY26-Q3,10240000,USD,HISTORICAL,DERIVED,0.55,APPROVED,1,u_anna,2026-06-24
g_nova_q3_cs,org_fintech_nova,g_nova_q3_company,DEPARTMENT,org_unit,team_success,team_success,,,expansion_arr,FY26-Q3,800000,USD,HISTORICAL,SUM,0.72,APPROVED,1,u_anna,2026-06-24
g_nova_q3_grr,org_fintech_nova,g_nova_q3_company,DEPARTMENT,org_unit,team_success,team_success,,,gross_revenue_retention,FY26-Q3,0.92,PCT,MANUAL,GUARDRAIL,0.8,APPROVED,1,u_anna,2026-06-24
g_nova_q3_fin,org_fintech_nova,g_nova_q3_company,DEPARTMENT,org_unit,team_finance,team_finance,,,cac_payback_months,FY26-Q3,14,MONTHS,MANUAL,GUARDRAIL,0.75,APPROVED,1,u_anna,2026-06-24
g_nova_q3_sales_east,org_fintech_nova,g_nova_q3_sales,TEAM,org_unit,team_sales,team_sales,NA_EAST,,closed_won_arr,FY26-Q3,1900000,USD,CAPACITY,SUM,0.6,APPROVED,1,u_ben,2026-06-26
g_nova_q3_sales_apac,org_fintech_nova,g_nova_q3_sales,TEAM,org_unit,team_sales,team_sales,APAC,,closed_won_arr,FY26-Q3,1300000,USD,CAPACITY,SUM,0.68,APPROVED,1,u_ben,2026-06-26
g_nova_q3_rep_eli,org_fintech_nova,g_nova_q3_sales_east,REP,user,u_eli,team_sales,NA_EAST,u_eli,closed_won_arr,FY26-Q3,1900000,USD,CAPACITY,SUM,0.62,APPROVED,1,u_ben,2026-06-26
g_nova_q3_rep_faye,org_fintech_nova,g_nova_q3_sales_apac,REP,user,u_faye,team_sales,APAC,u_faye,closed_won_arr,FY26-Q3,1300000,USD,CAPACITY,SUM,0.45,APPROVED,1,u_ben,2026-06-26
